RI,Value
1289.0194306371,15197
1289.2453682784,15166
1289.5164934478,13184
1289.742431089,11922
1290.0135562585,10884
1290.2394938997,11430
1290.5106190691,11123
1290.7365567103,10608
1290.9624943516,9819
1291.233619521,10526
1291.4595571622,10820
1291.7306823317,11224
1291.9566199729,10694
1292.1825576141,11105
1292.4536827836,10986
1292.6796204248,10929
1292.9507455942,10091
1293.1766832354,11298
1293.4026208766,11080
1293.6737460461,9447
1293.8996836873,10874
1294.1708088568,10555
1294.396746498,13257
1294.6226841392,11680
1294.8938093086,12090
1295.1197469498,11525
1295.3908721193,10957
1295.6168097605,11166
1295.8427474017,11487
1296.1138725712,11298
1296.3398102124,11289
1296.6109353818,10687
1296.836873023,11501
1297.0628106643,12019
1297.3339358337,12547
1297.5598734749,11550
1297.8309986444,12250
1298.0569362856,11119
1298.2828739268,12044
1298.5539990962,12581
1298.7799367375,14320
1299.0510619069,13298
1299.2769995481,13603
1299.5029371893,13763
1299.7740623588,14193
1300.0,14304
1300.2766251729,11619
1300.5071461503,11959
1300.7376671277,11273
1301.0142923006,9966
1301.244813278,10346
1301.5214384509,10059
1301.7519594283,10419
1301.9824804057,10824
1302.2591055786,10695
1302.489626556,10287
1302.7662517289,10702
1302.9967727063,10647
1303.2272936837,9504
1303.5039188566,9450
1303.734439834,10972
1304.0110650069,11151
1304.2415859843,12139
1304.4721069617,13365
1304.7487321346,13869
1304.979253112,15591
1305.2558782849,17701
1305.4863992623,19035
1305.7169202397,19228
1305.9935454126,20581
1306.22406639,20821
1306.5006915629,19734
1306.7312125403,19250
1306.9617335178,16599
1307.2383586906,15884
1307.468879668,13072
1307.7455048409,13224
1307.9760258183,11456
1308.2065467958,12219
1308.4831719686,12305
1308.7136929461,13393
1308.9903181189,12569
1309.2208390964,12943
1309.4513600738,13425
1309.7279852467,11829
1309.9585062241,11480
1310.235131397,10897
1310.4656523744,9486
1310.6961733518,10109
1310.9727985247,9582
1311.2033195021,9376
1311.479944675,8737
1311.7104656524,8670
1311.9409866298,8644
1312.2176118027,8274
1312.4481327801,8374
1312.724757953,10040
1312.9552789304,9780
1313.1857999078,10522
1313.4624250807,14463
1313.6929460581,15151
1313.969571231,17207
1314.2000922084,18035
1314.4306131858,17577
1314.7072383587,14876
1314.9377593361,14628
1315.214384509,13263
1315.4449054864,11840
1315.7215306593,11063
1315.9520516367,10234
1316.1825726141,10392
1316.459197787,9508
1316.6897187644,10091
1316.9663439373,8722
1317.1968649147,9222
1317.4273858921,10332
1317.704011065,10314
1317.9345320424,10813
1318.2111572153,10317
1318.4416781927,9505
1318.6721991701,9444
1318.948824343,10031
1319.1793453204,9569
1319.4559704933,10006
1319.6864914707,9178
1319.9170124481,10248
1320.193637621,9346
1320.4241585984,9919
1320.7007837713,9234
1320.9313047487,10876
1321.1618257261,10168
1321.438450899,10282
1321.6689718764,9731
1321.9455970493,9224
1322.1761180267,10001
1322.4066390041,8885
1322.683264177,9007
1322.9137851544,8965
1323.1904103273,8236
1323.4209313047,8950
1323.6514522822,10865
1323.928077455,10727
1324.1585984325,14299
1324.4352236053,15829
1324.6657445828,18344
1324.8962655602,21247
1325.1728907331,20187
1325.4034117105,19845
1325.6800368834,17344
1325.9105578608,15302
1326.1410788382,13307
1326.4177040111,12530
1326.6482249885,10626
1326.9248501614,8463
1327.1553711388,8700
1327.3858921162,8407
