URL	chrom://isq7ci1912004/ChromeleonLocal/AK Simat/2024/PVC Lina/2024-02_Vorversuche/2024-02_PVC-Tischde.seq/220.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024-02_PVC-Tischde
Name	PVC-Tischdecke µC A 0,2g 50C 30min Split 1:20
Number	2
Position	66
Comment	ODP Lina
Processing Method	MS Quantitative
Instrument Method	manualTD-WAX-MS-O_L1
Type	Calibration Standard
Status	Finished
Inject Time	2/21/2024 9:15:20 AM +01:00
Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033905
Time Max. (min)	50.003447
Data Points	55452
Detector	MSDevice
Generating Data System	Chromeleon 7.2.10 Build 23925 (cfd1e7af542fd56c07b8e0c2791055c459cfcf14)
Exporting Data System	Chromeleon 7.2.10.0
Operator	ISQ7000
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	13,079,911.128393
Signal Max.	5,872,703,630.459210
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.054
Max. Step (s)	0.0541
Average Step (s)	0.05406886

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.365528	0.0541	17,889,034.508515
0.366428	0.054	18,117,773.549703
0.367330	0.0541	18,331,917.984715
0.368232	0.0541	18,363,909.294419
0.369133	0.0541	18,075,257.869559
0.370033	0.054	17,799,660.214932
0.370935	0.0541	17,797,139.894135
0.371837	0.0541	17,947,724.012235
0.372737	0.054	18,093,768.545231
0.373638	0.0541	18,089,809.025070
0.374540	0.0541	18,008,126.069379
0.375440	0.054	17,962,305.163477
0.376342	0.0541	18,130,498.325019
0.377243	0.0541	18,433,476.175502
0.378143	0.054	18,400,354.713519
0.379045	0.0541	18,185,706.924976
0.379947	0.0541	18,032,494.492951
0.380847	0.054	17,796,876.156929
0.381748	0.0541	17,707,394.984280
0.382650	0.0541	17,918,335.204476
0.383552	0.0541	18,151,193.296635
0.384452	0.054	18,258,804.983445
0.385353	0.0541	18,323,743.684783
0.386255	0.0541	18,322,848.799259
0.387155	0.054	18,285,565.025056
0.388057	0.0541	18,255,597.734096
0.388958	0.0541	18,282,834.792434
0.389858	0.054	18,316,998.832398
0.390760	0.0541	18,268,882.730853
0.391662	0.0541	18,223,059.948170
0.392562	0.054	18,040,452.403854
0.393463	0.0541	17,879,646.229423
0.394365	0.0541	17,908,466.390052
0.395265	0.054	17,999,828.119991
0.396167	0.0541	18,274,193.824586
0.397068	0.0541	18,554,966.012844
0.397970	0.0541	18,591,329.523832
0.398870	0.054	18,591,212.645581
0.399772	0.0541	18,607,308.568903
0.400673	0.0541	18,448,722.923045
0.401573	0.054	18,340,731.063895
0.402475	0.0541	18,506,679.462880
0.403377	0.0541	18,578,299.979460
0.404277	0.054	18,328,182.173277
0.405178	0.0541	18,075,417.456616
0.406080	0.0541	17,994,317.589475
0.406980	0.054	17,845,430.214603
0.407882	0.0541	17,555,466.466730
0.408783	0.0541	17,325,010.977540
0.409683	0.054	17,200,993.750837
0.410585	0.0541	17,180,524.965313
0.411487	0.0541	17,381,539.194375
0.412388	0.0541	17,708,318.721885
0.413288	0.054	17,726,712.195443
0.414190	0.0541	17,583,665.391757
0.415092	0.0541	17,785,532.679625
0.415992	0.054	18,146,122.764979
0.416893	0.0541	18,228,415.686384
0.417795	0.0541	18,061,188.985658
0.418695	0.054	17,916,124.048892
0.419597	0.0541	17,895,058.914810
0.420498	0.0541	17,866,219.022229
0.421398	0.054	17,611,849.703704
0.422300	0.0541	17,260,937.240745
0.423202	0.0541	16,915,093.360141
0.424103	0.0541	16,773,777.255684
0.425003	0.054	17,003,395.327367
0.425905	0.0541	17,263,580.191858
0.426807	0.0541	17,494,754.144265
0.427707	0.054	17,710,734.617485
0.428608	0.0541	17,760,620.871420
0.429510	0.0541	17,709,328.933617
0.430410	0.054	17,876,387.389097
0.431312	0.0541	18,369,296.544478
0.432213	0.0541	18,764,987.298053
0.433113	0.054	18,797,366.185732
0.434015	0.0541	18,627,097.233281
0.434917	0.0541	18,478,096.558293
0.435817	0.054	18,381,379.082419
0.436718	0.0541	18,282,923.413690
