RI,Value
1196.071,5861
1196.215,5693
1196.406,5843
1196.55,5956
1196.694,5832
1196.838,6342
1196.981,5068
1197.125,5368
1197.317,4996
1197.46,5521
1197.604,4651
1197.748,5188
1197.892,4884
1198.035,5267
1198.227,4479
1198.371,5156
1198.515,4716
1198.658,4215
1198.802,4032
1198.946,3964
1199.09,3776
1199.281,4378
1199.425,4317
1199.569,4350
1199.713,4177
1199.856,4296
1200.0,3790
1200.181,3709
1200.318,3610
1200.454,3967
1200.59,3516
1200.726,4086
1200.862,3561
1201.044,3618
1201.18,3218
1201.316,3773
1201.452,3979
1201.588,4395
1201.724,3345
1201.906,3371
1202.042,3584
1202.178,3660
1202.314,3149
1202.45,3366
1202.586,3370
1202.768,2640
1202.904,3048
1203.04,3320
1203.176,3346
1203.312,3146
1203.448,2870
1203.63,3120
1203.766,3345
1203.902,3949
1204.038,3532
1204.174,3357
1204.31,2762
1204.446,2748
1204.628,2607
1204.764,2320
1204.9,2672
1205.036,2442
1205.172,2557
1205.309,2743
1205.49,2360
1205.626,2837
1205.762,3024
1205.898,2502
1206.034,3042
1206.171,2531
1206.352,2702
1206.488,2032
1206.624,2557
1206.76,3223
1206.897,2579
1207.033,2275
1207.214,2977
1207.35,3048
1207.486,2998
1207.623,3938
1207.759,2793
1207.895,3153
1208.076,3241
1208.212,3288
1208.348,2003
1208.485,2634
1208.621,3014
1208.757,3035
1208.938,3300
1209.074,3174
1209.211,3067
1209.347,3050
1209.483,2438
1209.619,3325
1209.755,3439
1209.936,3487
1210.073,3374
1210.209,3414
1210.345,2633
1210.481,2866
1210.617,3278
1210.799,3089
1210.935,2790
1211.071,3178
1211.207,3422
1211.343,3638
1211.479,3943
1211.661,3319
1211.797,3577
1211.933,3474
1212.069,3484
1212.205,3490
1212.341,3632
1212.523,2703
1212.659,3162
1212.795,3477
1212.931,2995
1213.067,2819
1213.203,3147
1213.385,2854
1213.521,2847
1213.657,3168
1213.793,3320
1213.929,3304
1214.065,3340
1214.201,2957
1214.383,2619
1214.519,3625
1214.655,3087
1214.791,3334
1214.927,3805
1215.064,2906
1215.245,3439
1215.381,3249
1215.517,3009
1215.653,2869
1215.789,2984
1215.926,3285
1216.107,3039
1216.243,2988
1216.379,2911
1216.515,2726
1216.652,3145
1216.788,2987
1216.969,2664
1217.105,2594
1217.241,2550
1217.377,2996
1217.514,2527
1217.65,3039
1217.831,2449
1217.967,2887
1218.103,3038
1218.24,3091
1218.376,2918
1218.512,4639
1218.693,3873
1218.829,4066
1218.966,4722
1219.102,5553
1219.238,5698
1219.374,6584
1219.51,7371
1219.691,7701
1219.828,8822
1219.964,10930
1220.1,10422
1220.236,12232
1220.372,14434
1220.554,18604
1220.69,25549
1220.826,33814
1220.962,49320
1221.098,67644
1221.234,90195
1221.416,118063
1221.552,147922
1221.688,176361
1221.824,204654
1221.96,232994
1222.096,254177
1222.278,272792
1222.414,285991
1222.55,286870
1222.686,293356
1222.822,296962
1222.958,295135
1223.14,282819
1223.276,279979
1223.412,274696
1223.548,258704
1223.684,254741
1223.82,238231
1224.002,228440
1224.138,219159
1224.274,210707
1224.41,196874
1224.546,184828
1224.682,176949
1224.819,165693
1225.0,158905
1225.136,149846
1225.272,139492
1225.408,135087
1225.544,125584
1225.681,118177
1225.862,112748
1225.998,105898
1226.134,105898
1226.27,98897
1226.407,96028
1226.543,92113
1226.724,89976
1226.86,81464
1226.996,77739
1227.132,74016
1227.269,71027
1227.405,67543
1227.586,63108
1227.722,61326
1227.858,59489
1227.995,56411
1228.131,52974
1228.267,51531
1228.448,51787
1228.584,46915
1228.721,45133
1228.857,42277
1228.993,39659
1229.129,35130
1229.265,30558
1229.446,27512
1229.583,23020
1229.719,21072
1229.855,15532
1229.991,13255
1230.127,9426
1230.309,8345
1230.445,7133
1230.581,6315
1230.717,5598
1230.853,4177
1230.989,4499
1231.171,3736
1231.307,3727
1231.443,4094
1231.579,3443
1231.715,3484
1231.851,3475
1232.033,3283
1232.169,3903
1232.305,3068
1232.441,3640
1232.577,2686
1232.713,3081
1232.895,3291
1233.031,3332
1233.167,3196
1233.303,3322
1233.439,2641
1233.575,2924
1233.757,3863
1233.893,2848
1234.029,3014
1234.165,2838
1234.301,3214
1234.437,3162
1234.619,2820
1234.755,3093
1234.891,3269
1235.027,3836
1235.163,3367
1235.299,4008
1235.436,4821
1235.617,5223
1235.753,5116
1235.889,6126
1236.025,6219
1236.162,6900
1236.298,7338
1236.479,7715
1236.615,7999
1236.751,8538
1236.887,7839
1237.024,8430
1237.16,8534
1237.341,7485
1237.477,7949
1237.613,8120
1237.75,8113
1237.886,8323
1238.022,8092
1238.203,7518
1238.339,7246
1238.475,7802
1238.612,7094
1238.748,7195
1238.884,7794
1239.065,8571
1239.201,7655
1239.338,7286
1239.474,7552
1239.61,8237
1239.746,7124
1239.882,7252
1240.064,7354
1240.2,5802
1240.336,6064
1240.472,6547
1240.608,5853
1240.744,6539
1240.926,6416
1241.062,5978
1241.198,6703
1241.334,5689
1241.47,6401
1241.606,4640
1241.788,5076
1241.924,4854
1242.06,4702
1242.196,5153
1242.332,5234
1242.468,4880
1242.65,4991
1242.786,4998
1242.922,5313
1243.058,5879
1243.194,5909
1243.33,6796
1243.512,4867
1243.648,5630
1243.784,5777
1243.92,5283
1244.056,5821
1244.192,6201
1244.374,6283
1244.51,5743
1244.646,6371
1244.782,5966
1244.918,5552
1245.054,5582
1245.191,5209
1245.372,4491
1245.508,5299
1245.644,3988
1245.78,4499
1245.917,3903
1246.053,4179
1246.234,4773
1246.37,4929
1246.506,3545
1246.642,3575
1246.779,3701
1246.915,3388
1247.096,3820
1247.232,2995
1247.368,3717
1247.505,3918
1247.641,3727
1247.777,4276
1247.958,3289
1248.094,3362
1248.23,3283
1248.367,2666
1248.503,2591
1248.639,3048
1248.82,2877
1248.956,3251
1249.093,2934
1249.229,2456
1249.365,2991
1249.501,3144
1249.637,3051
1249.819,2622
1249.955,3359
1250.091,3412
1250.227,2960
1250.363,3337
1250.499,3110
1250.681,3310
1250.817,2553
1250.953,3049
1251.089,2671
1251.225,3767
1251.361,3067
1251.543,3421
1251.679,3569
1251.815,3578
1251.951,4037
1252.087,3311
1252.223,2986
1252.405,2872
1252.541,3415
1252.677,3569
1252.813,3147
1252.949,2830
1253.085,3465
1253.267,2914
1253.403,2535
1253.539,2855
1253.675,2612
1253.811,2573
1253.947,3201
1254.129,3295
1254.265,4096
1254.401,3067
1254.537,2557
1254.673,3239
1254.809,2941
1254.991,2653
1255.127,2948
1255.263,2855
1255.399,3068
1255.535,2867
1255.672,2979
1255.808,2836
1255.989,2269
1256.125,2443
1256.261,3188
1256.397,2591
1256.534,2594
1256.67,2742
1256.851,2572
1256.987,3439
1257.123,2683
1257.26,2058
1257.396,2570
1257.532,2511
1257.713,2803
1257.849,3859
1257.985,3667
1258.122,3477
1258.258,3057
1258.394,3022
1258.575,2825
1258.711,2618
1258.848,2165
1258.984,3088
1259.12,2405
1259.256,3053
1259.437,2535
1259.574,2587
1259.71,3292
1259.846,3258
1259.982,3258
1260.118,2407
1260.254,2620
1260.436,2461
1260.572,2270
1260.708,2258
1260.844,2708
1260.98,3001
1261.116,2360
1261.298,2486
1261.434,2719
1261.57,3004
1261.706,3688
1261.842,2666
1261.978,3324
1262.16,3299
1262.296,4525
1262.432,3287
1262.568,4534
1262.704,4084
1262.84,4563
1263.022,4242
1263.158,4253
1263.294,4290
1263.43,4351
1263.566,3892
1263.702,4814
1263.884,5604
1264.02,4075
1264.156,5182
1264.292,4171
1264.428,4729
1264.564,4717
1264.746,4665
1264.882,4380
1265.018,4405
1265.154,4630
1265.29,4529
1265.426,3847
1265.563,3421
1265.744,4624
1265.88,3906
1266.016,3308
1266.152,4129
1266.289,4072
1266.425,3588
1266.606,3295
1266.742,3211
1266.878,3450
1267.015,3035
1267.151,3546
1267.287,3007
1267.468,3853
1267.604,3970
1267.74,2793
1267.877,3683
1268.013,4192
1268.149,3891
1268.33,3043
1268.466,3431
1268.603,3022
1268.739,3073
1268.875,3112
1269.011,3615
1269.192,2753
1269.328,2905
1269.465,2779
1269.601,2843
1269.737,3013
1269.873,2279
1270.009,3142
1270.191,2887
1270.327,2772
1270.463,3354
1270.599,2955
1270.735,3812
1270.871,4028
1271.053,2427
1271.189,2703
1271.325,3052
1271.461,2865
1271.597,2409
1271.733,3525
1271.915,2131
1272.051,3008
1272.187,2766
1272.323,2649
1272.459,3260
1272.595,3585
1272.777,3155
1272.913,2592
1273.049,2433
1273.185,2673
1273.321,2931
1273.457,2587
1273.639,2468
1273.775,2995
1273.911,3109
1274.047,1675
1274.183,3736
1274.319,2658
1274.501,2786
1274.637,2433
1274.773,2149
1274.909,2327
1275.045,2848
1275.181,3239
1275.363,3255
1275.499,2564
1275.635,3026
1275.771,2549
1275.907,2501
1276.044,2464
1276.18,2843
1276.361,2552
1276.497,2656
1276.633,2728
1276.77,2708
1276.906,2225
1277.042,3038
1277.223,2093
1277.359,2469
1277.495,2268
1277.632,2466
1277.768,2568
1277.904,3046
1278.085,1745
1278.221,2599
1278.358,2811
1278.494,2559
1278.63,2974
1278.766,2256
1278.947,2894
1279.083,2725
1279.22,3157
1279.356,2982
1279.492,2256
1279.628,2539
1279.809,2576
1279.946,3063
1280.082,2917
1280.218,3153
1280.354,2238
1280.49,2801
1280.626,2686
1280.808,2321
1280.944,3179
1281.08,2796
1281.216,2714
1281.352,2375
1281.488,3355
1281.67,3065
1281.806,2882
1281.942,2337
1282.078,2867
1282.214,2046
1282.35,3080
1282.532,2503
1282.668,2748
1282.804,2451
1282.94,2861
1283.076,2246
1283.212,3046
1283.394,2804
1283.53,2424
1283.666,2433
1283.802,2491
1283.938,2795
1284.074,2547
1284.256,2365
1284.392,2573
1284.528,2544
1284.664,2906
1284.8,3116
1284.936,2552
1285.118,3123
1285.254,2204
1285.39,2240
1285.526,2577
1285.662,2992
1285.799,2563
1285.935,2423
1286.116,2428
1286.252,2684
1286.388,3099
1286.525,2652
1286.661,2493
1286.797,2193
1286.978,2395
1287.114,2488
1287.25,2292
1287.387,2508
1287.523,2454
1287.659,2288
1287.84,2320
1287.976,3613
1288.113,2960
1288.249,2058
1288.385,2587
1288.521,3351
1288.702,3061
1288.838,2363
1288.975,2246
1289.111,2151
1289.247,2929
1289.383,2446
1289.564,2946
1289.701,2819
1289.837,2717
1289.973,3024
1290.109,2996
1290.245,3061
1290.426,2429
1290.563,3022
1290.699,3026
1290.835,2962
1290.971,3167
1291.107,2502
1291.243,3448
1291.425,2507
1291.561,2071
1291.697,2886
1291.833,2893
1291.969,2874
1292.105,3308
1292.287,2390
1292.423,2830
1292.559,2324
1292.695,2792
1292.831,2637
1292.967,2235
1293.149,2806
1293.285,2437
1293.421,2850
1293.557,2587
1293.693,2815
1293.829,2876
1294.011,2791
1294.147,3166
1294.283,2546
1294.419,3196
1294.555,3163
1294.691,2891
1294.873,3657
1295.009,2660
1295.145,4003
1295.281,3722
1295.417,4404
1295.554,3663
1295.735,4501
1295.871,4938
1296.007,5113
1296.143,5159
1296.279,5571
1296.416,6155
1296.552,5642
1296.733,6135
1296.869,6568
1297.005,5853
1297.142,5821
1297.278,5945
1297.414,5116
1297.595,5879
1297.731,5311
1297.868,5340
1298.004,5398
1298.14,4022
1298.276,4110
1298.457,4903
1298.593,4842
1298.73,3913
1298.866,3731
1299.002,4336
1299.138,3697
1299.319,3644
1299.456,3579
1299.592,3394
1299.728,3289
1299.864,2916
1300.0,2565
1300.182,3181
1300.319,2627
1300.456,2152
1300.593,2737
1300.73,2759
1300.867,2843
1301.004,2935
1301.186,2099
1301.323,3061
1301.46,2515
1301.597,2806
1301.734,2565
1301.87,3141
1302.053,2794
1302.19,2786
1302.327,2737
1302.464,2957
1302.6,2853
1302.737,3106
1302.92,2322
1303.057,2811
1303.193,2461
1303.33,3041
1303.467,1988
1303.604,2700
1303.786,2893
1303.923,2386
1304.06,2500
1304.197,2787
1304.334,2615
1304.471,2681
1304.653,2284
1304.79,2009
1304.927,2297
1305.064,3164
1305.201,2854
1305.338,4814
1305.52,6191
1305.657,6216
1305.794,8328
1305.931,9031
1306.068,9755
1306.204,10228
1306.341,9928
1306.524,10047
1306.661,8801
1306.797,7948
1306.934,6660
1307.071,5989
1307.208,6002
1307.391,4898
1307.527,4110
1307.664,3656
1307.801,3615
1307.938,4053
1308.075,2631
1308.257,2843
1308.394,2829
1308.531,2492
1308.668,3855
1308.805,2878
1308.942,2977
1309.124,2084
1309.261,2654
1309.398,2605
1309.535,2142
1309.672,1995
1309.808,3013
1309.991,3035
1310.128,2462
1310.265,2363
1310.401,2702
1310.538,2510
1310.675,2496
1310.858,2555
1310.995,2203
1311.131,3281
1311.268,2683
1311.405,2116
1311.542,2709
1311.679,2331
1311.861,2527
1311.998,2125
1312.135,1914
1312.272,2543
1312.409,2869
1312.546,2528
1312.728,2961
1312.865,3113
1313.002,3372
1313.139,2453
1313.276,2427
1313.412,2490
1313.595,2703
1313.732,2724
1313.869,2359
1314.005,2829
1314.142,2783
1314.279,2780
1314.462,2677
1314.599,2306
1314.735,2585
1314.872,1945
1315.009,3597
1315.146,2125
1315.328,2598
1315.465,2557
1315.602,2733
1315.739,3040
1315.876,3386
1316.013,3444
1316.195,3877
1316.332,4209
1316.469,4031
1316.606,4589
1316.743,5083
1316.88,4291
1317.016,4402
1317.199,4605
1317.336,4131
1317.473,4511
1317.609,4474
1317.746,3965
1317.883,3788
1318.066,4223
1318.203,2638
1318.339,3043
1318.476,3691
1318.613,3604
1318.75,3736
1318.932,3422
1319.069,4257
1319.206,3222
1319.343,3989
1319.48,3297
1319.617,4667
1319.799,4542
1319.936,4069
1320.073,4418
1320.21,4371
1320.347,4398
1320.484,4403
1320.666,4465
1320.803,4603
1320.94,4105
1321.077,4227
1321.214,3889
1321.35,4003
1321.487,3924
1321.67,2487
1321.807,3280
1321.943,3081
1322.08,3411
1322.217,2958
1322.354,2855
1322.536,3238
1322.673,2601
1322.81,1984
1322.947,2869
1323.084,2936
1323.221,3396
1323.403,2382
1323.54,2296
1323.677,2084
1323.814,2798
1323.951,3010
1324.088,2213
1324.27,2478
1324.407,2670
