RI,Value
1335.7861060329,71186
1336.0603290676,101552
1336.2888482633,125775
1336.5173674589,139300
1336.7915904936,141395
1337.0201096892,128733
1337.2943327239,106249
1337.5228519196,83665
1337.7513711152,65041
1338.0255941499,48907
1338.2541133455,38069
1338.5283363803,31742
1338.7568555759,26787
1338.9853747715,25383
1339.2595978062,22307
1339.4881170018,20862
1339.7623400366,19693
1339.9908592322,21429
1340.2193784278,20501
1340.4936014625,21069
1340.7221206581,20536
1340.9963436929,20947
1341.2248628885,20827
1341.4533820841,20476
1341.7276051188,19051
1341.9561243144,17659
1342.2303473492,17431
1342.4588665448,17375
1342.6873857404,20060
1342.9616087751,23586
1343.1901279707,28630
1343.4643510055,34585
1343.6928702011,37315
1343.9213893967,43181
1344.1956124314,45250
1344.4241316271,51040
1344.6983546618,60029
1344.9268738574,81735
1345.155393053,111392
1345.4296160878,154358
1345.6581352834,197848
1345.9323583181,235077
1346.1608775137,246546
1346.3893967093,237801
1346.6636197441,202587
1346.8921389397,164399
1347.1663619744,122077
1347.39488117,88542
1347.6234003656,65698
1347.8976234004,49328
1348.126142596,42062
1348.4003656307,34501
1348.6288848263,33025
1348.8574040219,29564
1349.1316270567,29468
1349.3601462523,27522
1349.634369287,31251
1349.8628884826,33639
1350.0914076782,39629
1350.365630713,48885
1350.5941499086,59103
1350.8683729433,78702
1351.0968921389,102006
1351.3254113346,123072
1351.5996343693,143054
1351.8281535649,143469
1352.1023765996,142130
1352.3308957952,130333
1352.60511883,112853
1352.8336380256,98367
1353.0621572212,90886
1353.3363802559,93302
1353.5648994516,100900
1353.8391224863,105751
1354.0676416819,109750
1354.2961608775,103928
1354.5703839122,89131
1354.7989031079,77558
1355.0731261426,60827
1355.3016453382,50291
1355.5301645338,42999
1355.8043875686,39498
1356.0329067642,39332
1356.3071297989,38205
1356.5356489945,36348
1356.7641681901,34524
1357.0383912249,33102
1357.2669104205,33678
1357.5411334552,38877
1357.7696526508,47078
1357.9981718464,57321
1358.2723948812,75229
1358.5009140768,97497
1358.7751371115,127212
1359.0036563071,168470
1359.2321755027,216318
1359.5063985375,262550
1359.7349177331,295295
1360.0091407678,298878
1360.2376599634,276573
1360.466179159,228063
1360.7404021938,181831
1360.9689213894,132645
1361.2431444241,97456
1361.4716636197,77356
1361.7001828154,65304
1361.9744058501,67420
1362.2029250457,69598
1362.4771480804,71308
1362.7056672761,68723
1362.9341864717,66467
1363.2084095064,54635
1363.436928702,46134
1363.7111517367,39856
1363.9396709324,33883
1364.168190128,27776
1364.4424131627,25263
1364.6709323583,23869
1364.9451553931,24508
1365.1736745887,24259
1365.4021937843,27810
1365.676416819,32081
1365.9049360146,42100
1366.1791590494,47313
1366.407678245,54210
1366.6361974406,56592
1366.9104204753,55838
1367.1389396709,49781
1367.4131627057,43090
1367.6416819013,36871
1367.8702010969,34665
1368.1444241316,33583
1368.3729433272,37731
1368.647166362,45276
1368.8756855576,59578
1369.1042047532,70292
1369.3784277879,80663
1369.6069469835,84256
1369.8811700183,91990
1370.1096892139,96311
1370.3382084095,101902
1370.6124314442,105835
1370.8409506399,108119
1371.1151736746,102940
1371.3436928702,96037
1371.5722120658,84869
1371.8464351005,78149
1372.0749542962,67025
1372.3491773309,64393
1372.5776965265,58013
1372.8062157221,54245
1373.0804387569,51156
1373.3089579525,44886
1373.5831809872,44297
1373.8117001828,42286
1374.0402193784,38994
1374.3144424132,38328
1374.5429616088,35747
1374.8171846435,34773
1375.0457038391,32369
1375.2742230347,30220
1375.5484460695,28426
1375.7769652651,27760
1376.0511882998,25518
1376.2797074954,26357
1376.508226691,24777
1376.7824497258,26155
1377.0109689214,28390
1377.2851919561,32096
1377.5137111517,30003
1377.7879341865,30716
1378.0164533821,30747
1378.2449725777,29171
1378.5191956124,26627
1378.747714808,24895
1379.0219378428,23651
1379.2504570384,23281
1379.478976234,23356
1379.7531992687,24173
1379.9817184644,24333
1380.2559414991,23680
1380.4844606947,25791
1380.7129798903,25819
1380.987202925,27001
1381.2157221207,28011
1381.4899451554,28513
1381.718464351,28864
1381.9469835466,30465
1382.2212065814,31147
1382.449725777,32685
1382.7239488117,36644
1382.9524680073,43607
1383.1809872029,55999
1383.4552102377,72877
1383.6837294333,89356
1383.957952468,103595
1384.1864716636,104129
1384.4149908592,94968
1384.689213894,80293
1384.9177330896,62665
1385.1919561243,46343
1385.4204753199,34943
1385.6489945155,27542
1385.9232175503,24289
1386.1517367459,24170
1386.4259597806,24954
1386.6544789762,27344
1386.8829981718,26261
1387.1572212066,31285
1387.3857404022,36206
1387.6599634369,42002
1387.8884826325,50839
1388.1170018282,60184
1388.3912248629,64497
1388.6197440585,61501
1388.8939670932,57887
1389.1224862888,47467
1389.3510054845,40609
1389.6252285192,31689
1389.8537477148,27089
1390.1279707495,24224
1390.3564899452,22186
1390.5850091408,22239
1390.8592321755,20482
1391.0877513711,23019
1391.3619744059,23109
1391.5904936015,27849
1391.8190127971,33614
1392.0932358318,46749
1392.3217550274,72374
1392.5959780622,104664
1392.8244972578,148291
1393.0530164534,202038
1393.3272394881,238545
1393.5557586837,258585
1393.8299817185,248982
1394.0585009141,210417
1394.2870201097,167952
1394.5612431444,121234
1394.78976234,88702
1395.0639853748,69362
1395.2925045704,62487
1395.521023766,58723
1395.7952468007,62879
1396.0237659963,67778
1396.2979890311,65737
1396.5265082267,60214
1396.7550274223,53396
1397.029250457,44720
1397.2577696527,36807
1397.5319926874,32183
1397.760511883,28023
1397.9890310786,28901
1398.2632541133,27754
1398.491773309,28225
1398.7659963437,28662
1398.9945155393,30412
1399.2230347349,33813
1399.4972577697,35896
1399.7257769653,38918
1400.0,44360
1400.2338634238,45084
1400.4677268475,44392
1400.748362956,40020
1400.9822263798,36536
1401.2628624883,36522
1401.4967259121,40658
1401.7305893358,46429
1402.0112254443,54353
1402.2450888681,58740
1402.5257249766,56556
1402.7595884004,55114
1403.0402245089,52508
1403.2740879326,54914
